Section	What to include	Source
Account overview	Client name, geography, sector; Account tier (Strategic / Growth / Maintain); Length of relationship; Current contract types (MSA, SoW, framework, etc.); Summary of services provided; One-page “account at a glance”	Account owner
Client Goals	Client business model & value chain; Key products / platforms / programmes; Strategic priorities (e.g. electrification, cost take-out, digitalisation); Current challenges & pain points; Market pressures affecting them (regulation, competitors, margins); Where engineering spend sits in their organisation	Account owner
Stakeholder & Relationship Map	Key stakeholders (business, engineering, procurement, finance); Decision makers vs influencers; Relationship strength (e.g. Red / Amber / Green); Known allies & blockers; Sponsorship gaps; Governance forums & cadence (QBRs, steering committees)	Stakeholder map
Current Engagement Portfolio	List of active engagements / programmes; Engagement type (project, managed service, staff aug, offshore, etc.); Contract value & duration; Delivery model (onshore / offshore / hybrid); Margin by engagement (if available); Risk rating (delivery, commercial, dependency)	TheHub
Growth Ambition & Targets	Revenue growth target (absolute & %); P-count growth target; Margin improvement target; Mix shift goals (e.g. more offshore, more managed services); Time horizon (12, 24, 36 months)	Target File
Growth Opportunities Pipeline	Opportunity name; Client sponsor; Problem statement; Service offering; Estimated value (revenue & p-count); Probability / stage; Timing; Key dependencies; Group opportunities by: New programmes, Expansion of existing work, New capabilities, Geographic expansion	TheHub
Value Proposition & Differentiation	What the client values most (cost, speed, quality, innovation); Your differentiators vs competitors; Proof points / case studies; Where you are currently under-utilised; Strategic role you want to play (partner vs supplier)	Account owner
Delivery & Capability Strategy	Capability map aligned to client needs; Skills gaps; Offshore / nearshore strategy; Knowledge retention & transition approach; Delivery risks & mitigations	Account owner
Account Risks & Issues	Commercial risks (pricing pressure, rate erosion); Client risks (insourcing, budget cuts); Delivery risks (key person dependency); Concentration risks; Contractual risks	Account owner
Account Governance & Operating Model	Account leadership roles; Escalation paths; Review cadence (monthly, quarterly); KPIs & success measures; Client satisfaction metrics (NPS, CSAT)	Account owner
Action Plan & Next 90 Days	Top 5–10 actions; Clear owners; Timelines; Success criteria	Account owner
